country;type_community;marital_status;educatational;gender;age;occupation;household_compostion;support_refugees
BELGIQUE;Small/middle town;(Re-)Married: without children;16;Man;74;Retired, unable to work;2;3
BELGIQUE;Rural area or village;(Re-)Married: without children;21;Woman;57;Middle management, etc.;2;3
BELGIQUE;Rural area or village;Widow: with children;18;Woman;77;Retired, unable to work;2;3
BELGIQUE;Rural area or village;(Re-)Married: without children;24;Man;73;Retired, unable to work;2;4
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;22;Woman;42;Employed position, service job;2;2
BELGIQUE;Rural area or village;Single: without children;20;Woman;23;Employed position, travelling;4;1
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;17;Woman;49;Responsible for ordinary shopping, etc.;6;4
BELGIQUE;Rural area or village;Single: without children;20;Man;28;Unemployed, temporarily not working;1;4
BELGIQUE;Rural area or village;(Re-)Married: children prev marriage;19;Woman;51;Retired, unable to work;3;4
BELGIQUE;Large town;Divorced/Separated: without children;12;Man;69;Retired, unable to work;1;4
BELGIQUE;Rural area or village;Single liv w partner: without children;25;Woman;27;Employed position, service job;2;2
BELGIQUE;Rural area or village;(Re-)Married: without children;21;Woman;25;Employed position, service job;2;2
BELGIQUE;Small/middle town;Single liv w partner: childr this union;18;Man;39;Skilled manual worker;3;3
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;20;Woman;42;Retired, unable to work;2;2
BELGIQUE;Rural area or village;Single liv w partner: childr prev union;19;Woman;47;Responsible for ordinary shopping, etc.;3;3
BELGIQUE;Small/middle town;Single liv w partner: childr this union;19;Woman;36;Employed position, service job;2;3
BELGIQUE;Small/middle town;(Re-)Married: without children;17;Woman;75;Retired, unable to work;2;1
BELGIQUE;Rural area or village;Single: without children;17;Woman;59;Retired, unable to work;3;2
BELGIQUE;Rural area or village;(Re-)Married: without children;18;Man;64;Retired, unable to work;2;2
BELGIQUE;Rural area or village;Widow: without children;26;Man;78;Retired, unable to work;1;2
BELGIQUE;Small/middle town;Divorced/Separated: with children;21;Man;29;Professional (lawyer, etc.);2;3
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;18;Woman;57;Responsible for ordinary shopping, etc.;4;3
BELGIQUE;Rural area or village;Divorced/Separated: without children;16;Woman;53;Skilled manual worker;1;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;18;Man;55;Skilled manual worker;3;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;21;Woman;45;Employed position, service job;3;3
BELGIQUE;Rural area or village;(Re-)Married: without children;16;Man;58;Retired, unable to work;2;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;18;Woman;49;Employed position, travelling;4;2
BELGIQUE;Small/middle town;Single liv w partner: without children;23;Woman;26;Employed professional (employed doctor, etc.);2;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;21;Woman;32;Employed position, at desk;2;2
BELGIQUE;Rural area or village;Single: with children;20;Woman;45;Employed position, at desk;2;3
BELGIQUE;Rural area or village;Single: without children;98;Woman;21;Student;3;1
BELGIQUE;Rural area or village;Single: without children;98;Woman;20;Student;2;3
BELGIQUE;Large town;Single: with children;25;Woman;30;Middle management, etc.;1;2
BELGIQUE;Large town;Single liv w partner: without children;21;Man;37;Unemployed, temporarily not working;1;1
BELGIQUE;Small/middle town;Divorced/Separated: without children;18;Woman;72;Retired, unable to work;1;2
BELGIQUE;Large town;Single liv w partner: without children;26;Man;52;Owner of a shop, craftsmen, etc.;2;2
BELGIQUE;Rural area or village;Single: without children;21;Woman;40;Retired, unable to work;1;4
BELGIQUE;Large town;(Re-)Married: without children;20;Woman;63;Retired, unable to work;2;3
BELGIQUE;Rural area or village;(Re-)Married: without children;18;Woman;62;Owner of a shop, craftsmen, etc.;2;3
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;18;Woman;61;Responsible for ordinary shopping, etc.;3;4
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;19;Woman;43;Responsible for ordinary shopping, etc.;3;4
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;18;Woman;56;Responsible for ordinary shopping, etc.;4;4
BELGIQUE;Rural area or village;Single liv w partner: childr this union;23;Woman;34;Employed position, service job;2;2
BELGIQUE;Rural area or village;Single liv w partner: childr prev union;23;Man;42;Middle management, etc.;3;4
BELGIQUE;Small/middle town;Divorced/Separated: without children;21;Woman;65;Middle management, etc.;1;2
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;18;Woman;45;Responsible for ordinary shopping, etc.;3;3
BELGIQUE;Large town;(Re-)Married: children this marriage;20;Man;45;Employed position, at desk;4;2
BELGIQUE;Large town;Divorced/Separated: without children;17;Woman;59;Retired, unable to work;1;2
BELGIQUE;Small/middle town;Single: without children;98;Man;20;Student;2;1
BELGIQUE;Rural area or village;Single liv w partner: without children;19;Woman;25;Employed position, at desk;2;3
BELGIQUE;Rural area or village;Divorced/Separated: without children;20;Woman;67;Retired, unable to work;1;2
BELGIQUE;Rural area or village;(Re-)Married: without children;16;Woman;60;Employed position, at desk;2;2
BELGIQUE;Large town;(Re-)Married: without children;18;Man;74;Retired, unable to work;2;2
BELGIQUE;Rural area or village;(Re-)Married: without children;18;Man;68;Retired, unable to work;2;2
BELGIQUE;Rural area or village;Widow: with children;21;Woman;50;Employed position, at desk;2;2
BELGIQUE;Large town;Divorced/Separated: without children;21;Woman;63;Unskilled manual worker, etc.;1;4
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;16;Man;64;Retired, unable to work;3;5
BELGIQUE;Small/middle town;(Re-)Married: children this marriage;19;Woman;27;Employed position, travelling;2;2
BELGIQUE;Rural area or village;Single liv w partner: without children;18;Woman;61;Professional (lawyer, etc.);1;5
BELGIQUE;Rural area or village;(Re-)Married: children this marriage;23;Woman;47;Middle management, etc.;4;5
BELGIQUE;Rural area or village;(Re-)Married: without children;19;Man;53;Employed position, travelling;2;1
BELGIQUE;Small/middle town;Single: without children;98;Woman;25;Student;3;1
BELGIQUE;Large town;Single liv w partner: childr this union;23;Man;36;Employed position, service job;2;2
BELGIQUE;Large town;Single liv w partner: childr this union;22;Woman;47;Employed position, travelling;3;5
BELGIQUE;Rural area or village;(Re-)Married: without children;20;Woman;73;Retired, unable to work;2;2
